Closing (Year),Place,History Lost (Years),Reason,Location
2010,Carnegie Hall Studios,116,"1894-2010, All 180 historic studios have been demolished, including sawtooth skylights on the roof of the building (meant for painters from the Arts Student League),replaced by the ""Sanford and Joan Weill Rooftop Terrace"".",
2010,The Starlight Lounge,50+,Eviction,
2010,New York Doll Hospital,109,"Death of owner, no successor",
2010,St. Vincent's Hospital,161,Closed and demolished for a billion-dollar luxury condo project,
2010,Carmine's at the Seaport,107,"Closed when landlord raised the rent to $13,000 a month",
2010,Fedora,58,"Closed by owner in old age, taken over by a trendy restaurateur, gutted and upscaled",
2010,Shore Hotel,107,"Coney Island hotel, demolished by Thor Equities to make room for new construction",
2010,Guss' Pickles,100,Left the Lower East Side due to rising neighborhood rents,
2010,Empire Diner,34,Lost their lease,
2010,Gino,65,"Closed when landlord raised rent $8,000 per month, turned into a cupcake bakery chain",
2010,Telephone Bar and Grill,22,Sold and replaced with a frat bar,
2010,JJ's Navy Yard bar,103,"Evicted, sold, and demolished, replaced by hipster coffee",
2010,Skyline Books,20,"Probable rent hike, replaced with a body waxing salon",
2009,Papaya King,?,Rent issues. The rent was too (damn) high., 7th Ave and 14th street
2009,Biography Bookshop,25,"Rent hike, owners relocated as BookBook",
2009,Provincetown Playhouse,91,Demolished by NYU,
2009,Manny's Music,74,"Bought out by Sam Ash, also later shuttered",
2009,Café Des Artistes,92,Bankruptcy,
2009,Tavern on the Green,75,Bankruptcy,
2009,Love Saves the Day,43,Closed in part due to high rent,
2009,Amato Opera House,61,"Closed by the owner in old age, building sold",
2009,P&G Bar,67,"Lost lease, gutted and replaced by upscale cafe",
2009,Joe Jr.'s diner,35,"Lost their lease, now upscale coffee",
2009,Arnold Hatters,50,"Unable to make rent after original location taken by eminent domain to build New York Times tower, replaced by 7-Eleven",
2008,Nikos Magazine & Smoke Shop,31,Closing due to high rent,11th Street and Sixth Avenue
2008,BOK LEI TAT SUPPLIES INC.,40+,Rent hike for Martial Arts supplies store in Chinatown,"77 Mulberry St New York, NY 10013"
2008,Cheyenne Diner,68,"Lost its lease, moved away",
2008,M&G Diner,40,Sold and shuttered,
2008,Vesuvio Bakery,88,Sold,
2008,Florent,24,"Closed due to rent hike, from $6,000 to $50,000 per month",
2008,Shea Stadium,44,"Demolished and replaced with upscale, corporate-named Citi-Field",
2008,Yankee Stadium,85,Demolished and replaced with an upscale ballpark,
2008,Cafe Figaro,39,"Lost their lease, became fast-food burrito chain and bank",
2008,Chez Brigitte,50,"Rent doubled, replaced by frozen yogurt chain",
2008,Bobby's Happy House,61,Building sold for a big-box chain store,
2008,The Minetta Tavern,71,"Landlord raised the rent, gave lease to upscale restaurateur",
2008,Donnell Library,53,Closed and demolished for a luxury hotel,
2008,Astroland amusement park,46,Sold to Thor Equities for redevelopment,
2008,Fazil's Times Square Studio,73,Closed for building demolition,
2008,Jefferson Market,79,"Money trouble, now sales office for billion-dollar luxury condo project at St. Vincent's",
2007,Coliseum Books,33,Rent too high,
2007,Rose's Turn,56,Family sold building for $3.5 million,
2007,Teresa's Polish restaurant,22,Rent hike,
2007,Sucelt Coffee,31,Rent hike,
2007,Donuts Coffee Shop,32,Evicted,
2007,Copeland's,49,Victim of gentrification,
2007,Kurowycky Meats,52,Closed due to lack of business,
2007,Moondance Diner,74,"Closed for condo development, moved to Wyoming",
2007,Jade Mountain,76,Death of owner,
2007,Chumley's,79,Collapsed,
2007,The Playpen Theater,100,Sold and demolished for luxury hotel tower and Shake Shack chain,
2007,Gertel's Bakery,93,"Sold, demolished for condo development",
2007,Dojo's Restaurant,33,Rent hike,
2007,The Roxy,29,Shut down for conversion to luxury condos,
2007,Limelight,24,"Shuttered by police, reopened, eventually closed and converted to luxury shopping mall",
2006,CBGBs,33,"Rent dispute, replaced by John Varvatos upscale boutique",
2006,The Second Avenue Deli,52,"Rent increase, replaced with a bank",
2006,McHale's Bar,62,Demolished for luxury condo tower,
2006,Gotham Book Mart,86,Evicted,
2006,Cedar Tavern,140,"Demolished for condos, replaced with a body waxing salon",
2005,Fulton Fish Market,170,Moved to the Bronx due to “the creeping conversion of Manhattan into a monstrous mall” --NY Times,
2005,Variety Photoplays Theater,108,Demolished by the Toll Brothers for a 21-story condo tower,
2004,Domino Sugar Factory,150,"Declining business, to be converted to luxury condos",
2004,Jon Vie Bakery,42,“a victim of soaring rents in a neighborhood populated as much by bankers as by bohemians.” --NY Times,
2004,The original Kim's Video,17,?,
2004,The Bottom Line,30,NYU raised the rent,
2004,A. Zito & Sons Bakery,80,Rising cost of business,
2002,Madison Avenue Bookshop,30,Lack of business,
2002,Ratner's,97,Cost of doing business,
2001,The Grand Tocino,82,"an old style Italain restaurant on Thompson, had an incredible clientele of neighborhood people and local painters and writers. W. H. Auden went there for dinner every night during one period. 1919-2001",
2001,Wetlands,13,Building sold for luxury condos,
2000, McBurney YMCA,94," Sold and replaced by luxury condos and a David Barton gym. This Y, reputedly the inspiration for the famous song",23rd Street & 8th Ave
